f1,f2,f3,f4,f5,f6,iz1,iz2,iz3,iz4,iz5,iz6,izz1,izz2,izz3,izz4,izz5,izz6,ε,Eads,delta_e,E_bonding,d-band
0.0,-283.161,-69.4086,222.6072,275.1994,2179.21,0.00784,0.638129,0.055072,0.032244,0.631073,284.2437,0.123496,6.815986,0.062167,7.138517,1.380211,38.66161,1,-0.31965,0.049023,8.83228651,-4.236837406
0.0,-293.858,-80.0714,220.2189,291.3652,2181.162,0.014949,2.289651,0.061364,0.53363,0.347745,249.2459,0.056303,4.621364,0.024894,5.26935,4.314224,17.74079,1,-0.50567,0.055625,8.64626527,-4.237195851
0.0,-309.186,-98.7607,205.969,325.6401,2181.028,0.006075,3.286772,0.061672,0.808649,0.017599,211.2072,0.015357,1.183941,0.009065,2.317564,7.461471,7.142894,1,-0.76636,0.061253,8.38557369,-4.238695766
0.0,-306.129,-129.173,181.2682,397.5166,2178.504,8.7e-05,2.840874,0.064345,0.666302,0.096453,174.919,0.002237,0.259971,0.001577,0.648019,7.773114,2.831525,1,-1.16122,0.063842,7.99071527,-4.244263772
0.0,-248.717,-177.624,132.2316,551.505,2174.178,0.001262,1.568604,0.096647,0.522555,0.445437,140.4269,0.006023,4.996613,0.013795,0.00857,3.574795,1.619709,1,-1.86752,0.058365,7.28441379,-4.259860516
0.0,-248.9,-171.633,-117.452,873.0679,2167.556,0.003035,0.033421,0.126951,0.839169,0.522229,103.5129,0.018357,0.0549,5.738693,4.25607,0.016675,2.197883,1,-3.34727,0.037349,5.80466553,-4.294485977
0.0,-235.992,-50.6417,194.6469,246.9933,2110.909,0.000323,0.147823,0.001314,0.000574,0.357955,273.9762,1e-05,1.294718,0.086964,0.005009,4.04847,75.02679,1,-0.07431,0.029814,9.07763143,-4.238245989
0.0,-237.264,-43.4414,202.9111,251.7444,2109.185,6.3e-05,0.016986,0.033659,0.000414,0.154892,269.3765,1.4e-05,2.773151,0.068189,0.008176,4.60626,58.7813,1,-0.12862,0.027864,9.02331502,-4.239956603
0.0,-248.82,-39.9696,210.9693,258.1421,2106.573,3e-06,0.253,0.073362,9.4e-05,0.028907,254.0495,3.9e-05,3.040472,0.016534,0.012116,5.154161,41.28847,1,-0.2196,0.025506,8.93233416,-4.242715937
0.0,-261.316,-36.2255,217.8465,266.3072,2102.016,1.7e-05,0.520877,0.095462,7e-06,0.000817,232.1549,6.1e-05,1.987988,0.000307,0.01486,5.823899,25.97444,1,-0.3486,0.021513,8.80334012,-4.246179656
0.0,-267.437,-23.1268,223.4579,276.3509,2095.998,8.5e-05,0.665907,0.103988,0.000144,0.030578,207.1673,8e-06,0.528703,0.02137,0.015216,6.709532,14.79981,1,-0.51725,0.017859,8.63468512,-4.251127575
0.0,-262.309,33.28598,228.0722,287.5603,2088.517,0.000105,0.671197,0.101745,0.000266,0.060801,181.7447,0.000149,0.050078,0.058246,0.013161,7.6233,8.340548,1,-0.73053,0.013412,8.42140967,-4.256306086
0.0,-242.198,68.32371,232.7923,298.6634,2079.921,6e-05,0.596934,0.078128,0.000238,0.048468,158.0717,0.000689,1.882238,0.032342,0.008628,7.654885,6.084295,1,-1.00552,0.00921,8.14641949,-4.261809887
