0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.0,-313.916557,-306.766336,994.622386,1058.945678,2142.889736,11785.878295,0.194609,0.175516,0.55831,27.864295,211.277888,177230.944184,0.302356,0.888223,1.124523,25.423468,666.176711,1.6,0.0581336200000066,0.079404,10.08142411,-4.16644845178834
0.0,-271.24231,-265.628531,1006.632528,1051.235859,2091.232963,11673.138559,0.079364,0.297798,0.648314,32.353685,216.595509,176223.690405,0.071956,1.025265,1.257307,33.861456,665.049436,1.6,0.10210846000001,0.11231,10.125398950000005,-4.16614174165616
0.0,-228.026247,-221.22819,1018.117677,1042.32056,2042.433299,11572.117225,0.010976,0.373292,0.799904,37.481245,220.986023,175345.296606,0.000188,1.016131,1.475764,43.966944,662.266901,1.6,0.132886150000018,0.095433,10.156176640000012,-4.16651887827013
0.0,-125.649694,-110.572365,1020.558308,1039.496799,1953.356218,11408.272376,0.001372,0.39785,50.676421,0.508127,226.674731,174013.837527,0.009876,0.874468,70.902438,0.961615,650.349845,1.6,0.158545990000021,0.115482,10.181836480000015,-4.14422276010494
0.0,115.883481,128.787862,993.040361,1058.575383,1875.341085,11294.19231,0.001407,0.414454,66.707287,0.776625,227.883739,173233.002574,0.000234,0.782216,105.052138,1.284101,628.346859,1.6,0.141684320000024,0.119976,10.164974810000018,-4.16609090337627
0.0,160.6025,169.101082,976.966893,1067.231826,1840.422316,11253.793362,2e-05,0.425055,76.047261,0.853474,226.780737,173022.962025,0.005197,0.734615,125.104104,1.338306,613.442658,1.6,0.119358260000012,0.071746,10.142648750000006,-4.16675469029465
0.0,191.811404,198.306307,959.353309,1075.29953,1808.226026,11222.868443,0.006721,0.428323,86.157176,0.922151,224.605552,172912.333085,0.037265,0.66433,146.815784,1.369708,596.147999,1.6,0.0885498600000289,0.12286,10.111840350000024,-4.14403781264077
0.0,-435.399614,0.956995,35.741958,210.97389,2394.148634,0.000169,1.209311,0.001203,0.050699,0.00815,451.779857,0.001022,3.67636,0.003922,0.114999,10.475359,705.304277,1.6,0.0892934200000183,0.127851,10.20397871,-4.16604834955418
0.0,-373.042018,-3.697629,36.528524,210.267592,2311.053814,0.00018,1.30079,0.001375,0.0641,0.007313,466.791062,0.001012,3.725823,0.004045,0.132536,11.72023,732.889006,1.6,0.131268140000031,0.130227,10.245953430000014,-4.14407958087489
0.0,-305.014893,-4.810528,38.058887,209.636737,2230.085356,0.00019,1.388769,0.001574,0.086238,0.005398,481.608899,0.000987,3.680588,0.004183,0.162609,13.144641,759.160386,1.6,0.160052820000032,0.064168,10.274738110000015,-4.16670857897724
0.0,-118.735988,7.670241,58.261047,209.005602,2074.027644,0.000165,1.216746,0.00225,0.491571,0.000196,510.48123,0.000691,2.321985,0.004937,0.760091,17.02785,806.524654,1.6,0.181765110000014,0.070878,10.296450399999998,-4.14525202610857
0.0,19.872666,201.636273,204.973682,243.212652,1924.771769,0.001363,0.014442,0.302032,0.000175,1.637156,538.026431,0.00243,0.016911,11.449526,0.045418,12.147589,845.310482,1.6,0.161086780000033,0.129768,10.275772070000016,-4.12485631897701
